scan_time_utc,ticker,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,event_intel_score,signal_count,days_since_latest_event,confidence_label,event_tags,top_sources,reason
2026-03-15T18:51:47Z,AMD,ADVANCED MICRO DEVICES INC,9.97,0.0,0.0,0.0,3.99,16,2,Insider Activity Watch,"administrative, buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for amd"
2026-03-15T18:52:51Z,LMT,LOCKHEED MARTIN CORP,9.97,0.0,0.0,0.0,3.99,28,2,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for lmt"
2026-03-15T18:53:26Z,NVDA,NVIDIA CORP,9.2,0.0,0.0,0.0,3.68,13,4,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for nvda"
2026-03-15T18:54:00Z,TSLA,"Tesla, Inc.",8.11,0.0,0.0,0.0,3.24,2,6,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for tsla"
2026-03-15T18:52:14Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,10,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for ba"
2026-03-15T18:53:36Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,11,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pltr"
2026-03-15T18:53:56Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,20,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider selling detected for rtx"
2026-03-15T18:53:14Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.32,0.0,0.0,0.0,2.93,24,12,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for noc"
2026-03-15T18:51:32Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,17,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider accumulation detected for aapl"
2026-03-15T18:52:25Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,12,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider accumulation detected for intc"
